AREA,UF,REGIAO,ANO,CPCCONTINUO,NOTACONCLUINTES,NOTAPADRONIZADAIDD,NOTAPADRONIZADAMESTRES,NOTAPADRONIZADADOUTORES,NOMEIES,SIGLAIES,Publica_1_Privada_0,CATADMINISTRATIVA,ORGACADEMICA,MUNICIPIOCURSO,NOTAPADRONIZADADREGIME,NOTAPADRONIZADAPEDAG,CPC_FAIXA,NOTAPADRONIZADAINFRA,INGRESSANTESPARTICIPANTES,INGRESSANTESINSCRITOS,COD_AREA (cod_curso),COD_IES,AMPLIACAOFORMACAO(NA),CPC FORMULA2013
DIREITO,SC,1,2012,"0,80","0,00","0,00","2,11","1,97",FACULDADE UNIÃO BANDEIRANTE,FUBSJ,0,Privada,Faculdade,SAO JOSE,"2,63","1,83","1,00","0,15",27,120,2,2324,"1,16","0,83"
ADMINISTRAÇÃO,MG,0,2012,"1,77","1,75","2,08","1,38","0,00",FACULDADE TRIÂNGULO MINEIRO,FTM,0,Privada,Faculdade,ITUIUTABA,"1,38","3,04","2,00","3,47",44,80,1,507,"3,21","1,76"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"1,86","1,64","2,11","1,35","0,00",FACULDADE TRIÂNGULO MINEIRO,FTM,0,Privada,Faculdade,ITUIUTABA,"1,35","3,31","2,00","4,55",15,21,22,507,"3,81","1,84"
PUBLICIDADE E PROPAGANDA,MG,0,2012,"2,25","2,98","3,04","0,63","0,00",FACULDADE TRIÂNGULO MINEIRO,FTM,0,Privada,Faculdade,ITUIUTABA,"1,18","2,14","3,00","3,85",14,23,804,507,"2,83","2,22"
ADMINISTRAÇÃO,SP,0,2012,"2,43","1,63","2,36","3,46","1,62",FACULDADE DE TAQUARITINGA,FTGA,0,Privada,Faculdade,TAQUARITINGA,"2,69","3,95","3,00","3,72",3,9,1,2009,"3,86","2,44"
ADMINISTRAÇÃO,BA,0,2012,"3,24","3,71","3,58","3,50","1,05",FACULDADE DE TECNOLOGIA E CIÊNCIAS,FTC SALVADOR,0,Privada,Faculdade,SALVADOR,"2,50","3,57","4,00","5,00",42,109,1,1461,"4,14","3,22"
DIREITO,BA,0,2012,"2,75","2,31","2,70","2,50","1,44",FACULDADE DE TECNOLOGIA E CIÊNCIAS,FTC SALVADOR,0,Privada,Faculdade,SALVADOR,"4,42","4,24","3,00","3,82",64,170,2,1461,"4,08","2,76"
PSICOLOGIA,BA,0,2012,"3,08","2,70","3,47","1,67","1,10",FACULDADE DE TECNOLOGIA E CIÊNCIAS,FTC SALVADOR,0,Privada,Faculdade,SALVADOR,"4,64","4,45","4,00","4,75",35,66,18,1461,"4,57","3,08"
ADMINISTRAÇÃO,BA,0,2012,"2,75","2,73","2,60","2,31","1,08",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ,FTC,0,Privada,Faculdade,JEQUIE,"4,62","3,93","3,00","4,23",40,67,1,1645,"4,05","2,74"
ADMINISTRAÇÃO,BA,0,2012,"2,69","2,47","2,58","2,86","1,50",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,0,Privada,Faculdade,ITABUNA,"3,93","3,97","3,00","3,57",56,91,1,1642,"3,81","2,70"
ADMINISTRAÇÃO,BA,0,2012,"2,23","2,01","2,16","2,50","1,25",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE FEIRA DE SANTANA,FTC,0,Privada,Faculdade,FEIRA DE SANTANA,"3,39","3,08","3,00","2,82",47,81,1,1053,"2,97","2,23"
ADMINISTRAÇÃO,BA,0,2012,"2,17","1,91","1,88","3,21","1,50",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,FTC,0,Privada,Faculdade,VITORIA DA CONQUISTA,"3,21","2,08","3,00","3,59",68,129,1,1364,"2,68","2,15"
DIREITO,BA,0,2012,"1,97","1,73","1,62","2,31","1,15",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,0,Privada,Faculdade,ITABUNA,"3,08","2,94","3,00","3,40",129,224,2,1642,"3,13","1,96"
DIREITO,BA,0,2012,"1,88","1,21","1,56","2,57","1,29",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,FTC,0,Privada,Faculdade,VITORIA DA CONQUISTA,"2,71","3,16","2,00","3,61",112,193,2,1364,"3,34","1,88"
PSICOLOGIA,BA,0,2012,"2,80","2,77","3,50","1,11","0,86",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE ITABUNA,FTC,0,Privada,Faculdade,ITABUNA,"3,96","2,78","3,00","4,01",47,70,18,1642,"3,27","2,78"
PSICOLOGIA,BA,0,2012,"2,72","2,38","3,10","1,94","0,86",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE VITÓRIA DA CONQUISTA,FTC,0,Privada,Faculdade,VITORIA DA CONQUISTA,"3,54","4,45","3,00","3,77",54,93,18,1364,"4,18","2,73"
PSICOLOGIA,BA,0,2012,"2,70","2,39","3,23","1,47","0,91",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ,FTC,0,Privada,Faculdade,JEQUIE,"5,00","2,34","3,00","3,94",55,98,18,1645,"2,98","2,68"
PSICOLOGIA,BA,0,2012,"2,62","2,00","2,95","1,80","1,03",FACULDADE DE TECNOLOGIA E CIÊNCIAS DE FEIRA DE SANTANA,FTC,0,Privada,Faculdade,FEIRA DE SANTANA,"5,00","3,40","3,00","3,55",75,114,18,1053,"3,46","2,62"
ADMINISTRAÇÃO,SE,0,2012,"1,73","1,48","1,09","3,52","1,30",FACULDADE TOBIAS BARRETO,FTB,0,Privada,Faculdade,ARACAJU,"1,11","2,50","2,00","4,32",14,36,1,4121,"3,23","1,71"
ADMINISTRAÇÃO,AM,0,2012,"2,08","1,65","2,01","2,33","0,47",FACULDADE TÁHIRIH,FT,0,Privada,Faculdade,MANAUS,"2,00","4,31","3,00","4,36",55,119,1,2436,"4,33","2,08"
ADMINISTRAÇÃO,SP,0,2012,"2,18","2,02","2,42","2,50","0,33",FACULDADE DE SÃO VICENTE,FSV,0,Privada,Faculdade,SAO VICENTE,"3,69","1,91","3,00","3,67",117,286,1,1690,"2,61","2,16"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"2,69","3,18","3,09","2,32","0,58",FACULDADE DE SÃO VICENTE,FSV,0,Privada,Faculdade,SAO VICENTE,"3,39","2,17","3,00","3,90",22,57,22,1690,"2,86","2,66"
DIREITO,MS,0,2012,"2,17","2,10","2,51","1,75","0,37",FACULDADE SALESIANA DE SANTA TERESA,FSST,0,Privada,Faculdade,CORUMBA,"2,00","2,55","3,00","4,52",33,35,2,1155,"3,34","2,14"
ADMINISTRAÇÃO,BA,0,2012,"2,18","1,47","2,11","3,93","0,50",FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,0,Privada,Faculdade,ALAGOINHAS,"3,04","3,72","3,00","3,65",22,38,1,1455,"3,69","2,18"
CIÊNCIAS CONTÁBEIS,BA,0,2012,"2,36","2,37","2,60","3,00","0,27",FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,0,Privada,Faculdade,ALAGOINHAS,"3,00","2,61","3,00","3,82",48,60,22,1455,"3,10","2,34"
PSICOLOGIA,BA,0,2012,"2,82","2,18","3,23","3,67","1,03",FACULDADE SANTÍSSIMO SACRAMENTO,FSSS,0,Privada,Faculdade,ALAGOINHAS,"2,25","4,12","3,00","4,64",70,85,18,1455,"4,33","2,81"
ADMINISTRAÇÃO,BA,0,2012,"2,36","1,89","2,79","3,13","0,58",FACULDADE SÃO SALVADOR,FSS,0,Privada,Faculdade,SALVADOR,"4,17","2,70","3,00","2,16",20,44,1,2581,"2,48","2,36"
CIÊNCIAS CONTÁBEIS,BA,0,2012,"1,66","1,89","1,96","0,50","0,00",FACULDADE SÃO SALVADOR,FSS,0,Privada,Faculdade,SALVADOR,"2,50","2,18","2,00","2,74",19,38,22,2581,"2,41","1,65"
DIREITO,BA,0,2012,"2,33","1,26","2,28","3,57","0,71",FACULDADE SÃO SALVADOR,FSS,0,Privada,Faculdade,SALVADOR,"2,86","4,49","3,00","4,77",25,64,2,2581,"4,60","2,33"
ADMINISTRAÇÃO,SP,0,2012,"3,46","3,41","3,07","4,55","3,50",FACULDADE SUDOESTE PAULISTA,FSP,0,Privada,Faculdade,AVARE,"4,09","2,76","4,00","4,29",42,96,1,1317,"3,37","3,43"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"4,26","4,31","4,12","4,32","4,07",FACULDADE SUDOESTE PAULISTA,FSP,0,Privada,Faculdade,AVARE,"4,09","4,49","5,00","5,00",19,35,22,1317,"4,69","4,25"
DIREITO,SP,0,2012,"3,46","3,71","4,19","3,40","3,00",FACULDADE SUDOESTE PAULISTA,FSP,0,Privada,Faculdade,AVARE,"3,80","1,68","4,00","1,84",47,89,2,1317,"1,74","3,46"
PSICOLOGIA,SP,0,2012,"3,50","2,87","3,25","4,63","2,57",FACULDADE SUDOESTE PAULISTA,FSP,0,Privada,Faculdade,AVARE,"4,72","4,28","4,00","5,00",48,73,18,1317,"4,57","3,48"
ADMINISTRAÇÃO,SP,0,2012,"2,91","2,17","2,69","3,95","4,79",FACULDADE ANHANGÜERA DE SOROCABA,FSO,0,Privada,Faculdade,SOROCABA,"0,26","2,61","3,00","4,04",112,236,1,4655,"3,18","2,89"
CIÊNCIAS CONTÁBEIS,SP,0,2012,"2,66","2,61","2,75","2,00","3,26",FACULDADE ANHANGÜERA DE SOROCABA,FSO,0,Privada,Faculdade,SOROCABA,"0,50","2,63","3,00","4,04",31,65,22,4655,"3,19","2,64"
ADMINISTRAÇÃO,RJ,0,2012,"1,55","1,36","1,02","3,23","0,23",FACULDADE SALESIANA MARIA AUXILIADORA,FSMA,0,Privada,Faculdade,MACAE,"1,61","2,18","2,00","4,74",18,52,1,1682,"3,20","1,51"
JORNALISMO,RJ,0,2012,"2,59","3,24","3,24","2,45","0,00",FACULDADE SALESIANA MARIA AUXILIADORA,FSMA,0,Privada,Faculdade,MACAE,"1,67","2,17","3,00","4,43",0,2,803,1682,"3,08","2,55"
PUBLICIDADE E PROPAGANDA,RJ,0,2012,"2,32","2,80","3,20","2,67","0,00",FACULDADE SALESIANA MARIA AUXILIADORA,FSMA,0,Privada,Faculdade,MACAE,"1,67","1,82","3,00","2,44",11,23,804,1682,"2,07","2,31"
ADMINISTRAÇÃO,MG,0,2012,"2,22","1,90","1,86","4,63","0,35",FACULDADE SENAC MINAS,FSM,0,Privada,Faculdade,CONTAGEM,"3,00","3,03","3,00","4,47",23,70,1,2703,"3,61","2,19"
ADMINISTRAÇÃO,PE,0,2012,"3,40","2,87","4,24","3,60","1,96",FACULDADE SANTA MARIA,FSM,0,Privada,Faculdade,RECIFE,"4,60","2,31","4,00","3,54",4,18,1,1771,"2,80","3,39"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"3,37","3,45","3,67","3,75","0,81",FACULDADE SENAC MINAS,FSM,0,Privada,Faculdade,CONTAGEM,"3,25","5,00","4,00","5,00",13,24,22,2703,"5,00","3,37"
ADMINISTRAÇÃO,MG,0,2012,"2,20","2,39","2,51","3,42","0,37",FACULDADE PROMOVE DE SETE LAGOAS,FSLMG,0,Privada,Faculdade,SETE LAGOAS,"2,37","2,76","3,00","2,01",19,45,1,1700,"2,46","2,22"
PUBLICIDADE E PROPAGANDA,MG,0,2012,"2,78","3,01","3,47","3,29","0,00",FACULDADE PROMOVE DE SETE LAGOAS,FSLMG,0,Privada,Faculdade,SETE LAGOAS,"2,50","2,60","3,00","4,50",18,31,804,1700,"3,36","2,75"
ADMINISTRAÇÃO,SE,0,2012,"3,14","2,20","2,63","4,12","2,47",FACULDADE SÃO LUÍS DE FRANÇA,FSLF,0,Privada,Faculdade,ARACAJU,"5,00","4,74","4,00","5,00",16,37,1,1090,"4,84","3,14"
ADMINISTRAÇÃO,RO,0,2012,"2,86","1,96","2,00","5,00","2,63",FACULDADE SÃO LUCAS,FSL,0,Privada,Faculdade,PORTO VELHO,"5,00","3,77","3,00","4,61",152,267,1,1414,"4,11","2,85"
DIREITO,RO,0,2012,"3,24","3,19","3,33","4,71","3,09",FACULDADE SÃO LUCAS,FSL,0,Privada,Faculdade,PORTO VELHO,"5,00","1,53","4,00","1,81",88,135,2,1414,"1,64","3,24"
FILOSOFIA (BACHARELADO),SC,1,2011,"3,16","3,26","3,09","4,13","2,31",FACULDADE SÃO LUÍS,FSL,0,PRIVADA,FACULDADES,BRUSQUE,"0,67","4,70","4,00","4,88",41,54,3201,2462,"4,78","3,15"
ADMINISTRAÇÃO,RJ,0,2012,"2,19","2,03","2,06","4,00","0,56",FACULDADE SÃO JUDAS TADEU,FSJT,0,Privada,Faculdade,RIO DE JANEIRO,"2,00","3,63","3,00","3,38",31,77,1,220,"3,53","2,19"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"3,11","3,57","3,60","3,85","0,63",FACULDADE SÃO JUDAS TADEU,FSJT,0,Privada,Faculdade,RIO DE JANEIRO,"1,92","3,75","4,00","4,42",19,65,22,220,"4,02","3,10"
ADMINISTRAÇÃO,MA,0,2012,"1,55","1,22","1,52","1,56","0,00",FACULDADE MARANHENSE SÃO JOSÉ DOS COCAIS,FSJ,0,Privada,Faculdade,TIMON,"0,94","4,18","2,00","3,67",59,116,1,3724,"3,98","1,56"
ADMINISTRAÇÃO,RJ,0,2012,"2,87","1,91","1,85","5,00","5,00",FACULDADE SÃO JOSÉ,FSJ,0,Privada,Faculdade,RIO DE JANEIRO,"2,80","2,79","3,00","3,95",47,106,1,705,"3,25","2,85"
CIÊNCIAS CONTÁBEIS,MA,0,2012,"1,88","1,88","1,92","1,67","0,34",FACULDADE MARANHENSE SÃO JOSÉ DOS COCAIS,FSJ,0,Privada,Faculdade,TIMON,"1,04","4,12","2,00","3,62",51,89,22,3724,"3,92","1,89"
CIÊNCIAS CONTÁBEIS,RJ,0,2012,"2,86","2,18","1,95","5,00","5,00",FACULDADE SÃO JOSÉ,FSJ,0,Privada,Faculdade,RIO DE JANEIRO,"2,68","2,16","3,00","3,46",22,47,22,705,"2,68","2,85"
ADMINISTRAÇÃO,PE,0,2012,"1,92","1,79","2,15","1,81","0,48",FACULDADE SANTA HELENA,FSH,0,Privada,Faculdade,RECIFE,"3,88","1,90","2,00","2,28",101,196,1,1384,"2,05","1,92"
CIÊNCIAS CONTÁBEIS,PE,0,2012,"1,19","1,05","1,02","1,50","0,49",FACULDADE SANTA HELENA,FSH,0,Privada,Faculdade,RECIFE,"4,00","1,14","2,00","0,68",127,265,22,1384,"0,95","1,20"
ADMINISTRAÇÃO,ES,0,2012,"2,64","2,16","2,04","3,40","1,96",FACULDADE SÃO GERALDO,FSG,0,Privada,Faculdade,CARIACICA,"3,00","4,71","3,00","4,84",41,69,1,2537,"4,76","2,64"
ADMINISTRAÇÃO,RS,1,2012,"2,32","2,17","2,51","2,33","0,19",FACULDADE DA SERRA GAÚCHA,FSG,0,Privada,Faculdade,CAXIAS DO SUL,"2,20","4,16","3,00","4,34",99,300,1,1427,"4,23","2,32"
CIÊNCIAS CONTÁBEIS,PI,0,2012,"2,48","1,98","2,73","2,08","0,00",FACULDADE SÃO GABRIEL,FSG,0,Privada,Faculdade,TERESINA,"3,33","4,65","3,00","5,00",12,22,22,1360,"4,79","2,48"
CIÊNCIAS CONTÁBEIS,RS,1,2012,"2,09","1,96","1,77","2,12","0,31",FACULDADE DA SERRA GAÚCHA,FSG,0,Privada,Faculdade,CAXIAS DO SUL,"2,69","4,14","3,00","4,83",46,97,22,1427,"4,42","2,08"
DIREITO,ES,0,2012,"3,41","3,16","3,32","4,17","2,25",FACULDADE SÃO GERALDO,FSG,0,Privada,Faculdade,CARIACICA,"3,17","4,72","4,00","5,00",54,112,2,2537,"4,83","3,41"
DIREITO,PI,0,2012,"2,39","2,10","2,55","1,67","0,00",FACULDADE SÃO GABRIEL,FSG,0,Privada,Faculdade,TERESINA,"3,10","4,78","3,00","4,85",59,118,2,1360,"4,81","2,39"
DIREITO,RS,1,2012,"2,23","1,86","1,84","3,70","0,83",FACULDADE DA SERRA GAÚCHA,FSG,0,Privada,Faculdade,CAXIAS DO SUL,"2,41","4,23","3,00","4,18",57,144,2,1427,"4,21","2,23"
PSICOLOGIA,RS,1,2012,"3,13","2,89","3,93","2,38","0,74",FACULDADE DA SERRA GAÚCHA,FSG,0,Privada,Faculdade,CAXIAS DO SUL,"3,57","3,93","4,00","4,30",64,139,18,1427,"4,08","3,12"
ADMINISTRAÇÃO,AM,0,2012,"1,33","1,21","0,89","1,79","0,00",FACULDADE SALESIANA DOM BOSCO,FSDB,0,Privada,Faculdade,MANAUS,"2,68","3,14","2,00","2,74",36,49,1,2186,"2,98","1,33"
ADMINISTRAÇÃO,SP,0,2012,"2,17","1,55","1,49","4,05","2,33",FACULDADE SALESIANA DOM BOSCO DE PIRACICABA,FSDB,0,Privada,Faculdade,PIRACICABA,"0,95","3,35","3,00","4,84",50,88,1,2844,"3,94","2,15"
CIÊNCIAS CONTÁBEIS,AM,0,2012,"1,69","1,69","1,64","1,39","0,00",FACULDADE SALESIANA DOM BOSCO,FSDB,0,Privada,Faculdade,MANAUS,"2,22","3,06","2,00","3,68",21,39,22,2186,"3,31","1,68"
FILOSOFIA (LICENCIATURA),AM,0,2011,"2,39","2,48","2,71","1,41","0,77",FACULDADE SALESIANA DOM BOSCO,FSDB,0,PRIVADA,FACULDADES,MANAUS,"1,25","3,39","3,00","5,00",9,25,3202,2186,"4,03","2,36"
ADMINISTRAÇÃO,BA,0,2012,"2,71","2,44","2,44","3,75","1,40",FACULDADE SOCIAL DA BAHIA,FSBA,0,Privada,Faculdade,SALVADOR,"2,75","4,13","3,00","4,77",4,23,1,1641,"4,39","2,70"
DIREITO,BA,0,2012,"2,78","2,26","3,26","3,38","1,31",FACULDADE SOCIAL DA BAHIA,FSBA,0,Privada,Faculdade,SALVADOR,"2,75","2,90","3,00","4,24",17,80,2,1641,"3,44","2,76"
JORNALISMO,BA,0,2012,"3,71","3,31","4,16","4,58","2,61",FACULDADE SOCIAL DA BAHIA,FSBA,0,Privada,Faculdade,SALVADOR,"4,00","3,33","4,00","4,17",6,18,803,1641,"3,67","3,70"
PSICOLOGIA,BA,0,2012,"2,70","2,51","2,51","3,48","1,40",FACULDADE SOCIAL DA BAHIA,FSBA,0,Privada,Faculdade,SALVADOR,"4,09","2,98","3,00","4,29",6,31,18,1641,"3,50","2,68"
PUBLICIDADE E PROPAGANDA,BA,0,2012,"2,68","2,22","2,22","3,57","2,60",FACULDADE SOCIAL DA BAHIA,FSBA,0,Privada,Faculdade,SALVADOR,"4,17","3,04","3,00","3,42",0,5,804,1641,"3,20","2,67"
FILOSOFIA (BACHARELADO),RJ,0,2011,"3,30","3,30","3,36","5,00","2,64",FACULDADE SÃO BENTO DO RIO DE JANEIRO,FSB/RJ,0,PRIVADA,FACULDADES,RIO DE JANEIRO,"0,67","3,87","4,00","4,64",9,27,3201,2617,"4,18","3,29"
FILOSOFIA (LICENCIATURA),SP,0,2011,"3,34","2,79","2,79","4,63","3,33",FACULDADE DE SÃO BENTO,FSB,0,PRIVADA,FACULDADES,SÃO PAULO,"5,00","3,25","4,00","4,54",2,27,3202,1921,"3,77","3,32"
ADMINISTRAÇÃO,BA,0,2012,"1,75","2,26","1,99","0,25","0,00",FACULDADE SANTO ANTONIO,FSA,0,Privada,Faculdade,ALAGOINHAS,"0,50","3,18","2,00","4,02",25,48,1,3285,"3,52","1,73"
ADMINISTRAÇÃO,PI,0,2012,"2,55","1,88","1,99","3,62","0,72",FACULDADE SANTO AGOSTINHO,FSA,0,Privada,Faculdade,TERESINA,"5,00","4,72","3,00","4,89",158,250,1,1131,"4,79","2,54"
CIÊNCIAS CONTÁBEIS,PI,0,2012,"2,96","2,44","2,73","4,07","0,91",FACULDADE SANTO AGOSTINHO,FSA,0,Privada,Faculdade,TERESINA,"5,00","4,60","4,00","4,72",94,130,22,1131,"4,65","2,96"
DIREITO,PI,0,2012,"2,65","2,35","2,40","3,16","0,79",FACULDADE SANTO AGOSTINHO,FSA,0,Privada,Faculdade,TERESINA,"4,87","3,68","3,00","4,56",210,281,2,1131,"4,03","2,63"
PSICOLOGIA,PI,0,2012,"2,90","2,20","3,05","3,56","0,56",FACULDADE SANTO AGOSTINHO,FSA,0,Privada,Faculdade,TERESINA,"4,86","4,37","3,00","4,66",101,143,18,1131,"4,49","2,90"
ADMINISTRAÇÃO,BA,0,2012,"2,93","3,18","3,24","3,67","0,53",FACULDADE RUY BARBOSA,FRBA,0,Privada,Faculdade,SALVADOR,"1,77","4,44","3,00","4,58",74,143,1,396,"4,50","2,93"
CIÊNCIAS CONTÁBEIS,BA,0,2012,"2,11","2,25","1,96","3,00","0,33",FACULDADE RUY BARBOSA,FRBA,0,Privada,Faculdade,SALVADOR,"1,60","3,77","3,00","3,87",54,103,22,396,"3,81","2,10"
DIREITO,BA,0,2012,"2,45","2,38","2,18","2,82","0,97",FACULDADE RUY BARBOSA,FRBA,0,Privada,Faculdade,SALVADOR,"2,63","4,21","3,00","4,55",444,789,2,396,"4,35","2,44"
PSICOLOGIA,BA,0,2012,"2,98","2,92","3,32","3,11","0,87",FACULDADE RUY BARBOSA,FRBA,0,Privada,Faculdade,SALVADOR,"3,30","4,11","4,00","4,19",136,217,18,396,"4,14","2,98"
ADMINISTRAÇÃO,SP,0,2012,"2,40","1,68","1,77","4,17","2,33",FACULDADES INTEGRADAS RIO BRANCO,FRB,0,Privada,Faculdade,SAO PAULO,"2,00","3,90","3,00","4,51",24,69,1,1838,"4,14","2,39"
CIÊNCIAS ECONÔMICAS,SP,0,2012,"2,72","2,11","2,28","4,21","3,33",FACULDADES INTEGRADAS RIO BRANCO,FRB,0,Privada,Faculdade,SAO PAULO,"1,11","3,00","3,00","5,00",6,12,13,1838,"3,80","2,69"
DIREITO,SP,0,2012,"2,69","1,85","2,03","4,23","3,46",FACULDADES INTEGRADAS RIO BRANCO,FRB,0,Privada,Faculdade,SAO PAULO,"1,15","4,48","3,00","4,72",35,85,2,1838,"4,58","2,69"
JORNALISMO,SP,0,2012,"3,02","2,74","3,29","4,07","1,65",FACULDADES INTEGRADAS RIO BRANCO,FRB,0,Privada,Faculdade,SAO PAULO,"1,48","4,05","4,00","4,75",16,34,803,1838,"4,33","3,01"
PUBLICIDADE E PROPAGANDA,SP,0,2012,"2,60","2,02","2,54","3,80","1,64",FACULDADES INTEGRADAS RIO BRANCO,FRB,0,Privada,Faculdade,SAO PAULO,"1,84","3,58","3,00","4,85",11,45,804,1838,"4,09","2,58"
RELAÇÕES INTERNACIONAIS,SP,0,2012,"3,03","2,54","2,62","4,36","2,92",FACULDADES INTEGRADAS RIO BRANCO,FRB,0,Privada,Faculdade,SAO PAULO,"1,88","4,58","4,00","4,73",80,126,81,1838,"4,64","3,03"
ADMINISTRAÇÃO,SP,0,2012,"2,11","2,06","2,75","1,43","0,00",FACULDADE RANCHARIENSE,FRAN,0,Privada,Faculdade,RANCHARIA,"1,67","3,16","3,00","3,57",10,20,1,1884,"3,32","2,11"
PSICOLOGIA,MT,0,2012,"2,49","2,02","3,45","0,00","0,00",FACULDADE DE QUATRO MARCOS,FQM,0,Privada,Faculdade,SAO JOSE DO QUATRO MARCOS,"4,38","2,56","3,00","4,75",39,78,18,3204,"3,43","2,45"
ADMINISTRAÇÃO,MG,0,2012,"2,98","3,05","3,73","1,87","0,22",FACULDADE POLITÉCNICA DE UBERLÂNDIA,FPU,0,Privada,Faculdade,UBERLANDIA,"2,81","4,46","4,00","4,65",31,71,1,1598,"4,53","2,98"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"2,44","2,60","2,47","1,46","0,34",FACULDADE POLITÉCNICA DE UBERLÂNDIA,FPU,0,Privada,Faculdade,UBERLANDIA,"3,13","4,13","3,00","4,68",40,91,22,1598,"4,35","2,43"
DIREITO,MG,0,2012,"2,49","2,22","2,61","3,95","0,39",FACULDADE POLITÉCNICA DE UBERLÂNDIA,FPU,0,Privada,Faculdade,UBERLANDIA,"2,89","4,01","3,00","3,49",55,127,2,1598,"3,80","2,50"
ADMINISTRAÇÃO,MG,0,2012,"2,01","1,62","1,62","2,07","0,24",FACULDADE CIDADE DE PATOS DE MINAS,FPM,0,Privada,Faculdade,PATOS DE MINAS,"2,41","5,00","3,00","5,00",22,55,1,2915,"5,00","2,01"
PSICOLOGIA,MG,0,2012,"2,87","2,17","3,49","2,69","0,20",FACULDADE CIDADE DE PATOS DE MINAS,FPM,0,Privada,Faculdade,PATOS DE MINAS,"3,46","4,67","3,00","5,00",17,47,18,2915,"4,80","2,87"
ADMINISTRAÇÃO,MG,0,2012,"2,20","1,66","1,72","4,29","2,00",FACULDADE PEDRO LEOPOLDO,FPL,0,Privada,Faculdade,PEDRO LEOPOLDO,"2,68","2,86","3,00","3,11",24,61,1,4218,"2,96","2,20"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"2,29","2,31","2,12","3,20","0,98",FACULDADE PEDRO LEOPOLDO,FPL,0,Privada,Faculdade,PEDRO LEOPOLDO,"2,60","2,63","3,00","4,18",43,83,22,4218,"3,25","2,27"
ADMINISTRAÇÃO,MG,0,2012,"3,05","2,89","3,67","3,60","0,56",FACULDADE PITÁGORAS DE IPATINGA,FPI,0,Privada,Faculdade,IPATINGA,"4,40","2,45","4,00","4,32",37,86,1,2271,"3,20","3,03"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"3,32","3,50","3,30","3,75","1,36",FACULDADE PITÁGORAS DE IPATINGA,FPI,0,Privada,Faculdade,IPATINGA,"4,58","4,08","4,00","4,44",47,113,22,2271,"4,22","3,32"
DIREITO,MG,0,2012,"2,99","2,46","3,31","3,86","0,68",FACULDADE PITÁGORAS DE IPATINGA,FPI,0,Privada,Faculdade,IPATINGA,"4,32","3,81","4,00","4,49",106,213,2,2271,"4,08","2,98"
PSICOLOGIA,MG,0,2012,"3,31","2,63","3,89","3,52","1,14",FACULDADE PITÁGORAS DE IPATINGA,FPI,0,Privada,Faculdade,IPATINGA,"4,72","3,52","4,00","4,86",22,60,18,2271,"4,05","3,29"
ADMINISTRAÇÃO,MG,0,2012,"3,32","3,41","3,84","3,60","1,12",FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,0,Privada,Faculdade,DIVINOPOLIS,"4,40","3,37","4,00","3,62",85,151,1,3149,"3,47","3,31"
CIÊNCIAS CONTÁBEIS,MG,0,2012,"3,57","4,26","4,00","3,61","0,45",FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,0,Privada,Faculdade,DIVINOPOLIS,"4,44","3,85","4,00","4,74",54,81,22,3149,"4,20","3,55"
DIREITO,MG,0,2012,"2,87","2,97","3,64","3,51","0,20",FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,0,Privada,Faculdade,DIVINOPOLIS,"4,05","2,35","3,00","2,98",205,398,2,3149,"2,61","2,86"
DIREITO,SE,0,2012,"2,57","1,63","1,92","4,67","2,00",FACULDADE PIO DÉCIMO,FPD,0,Privada,Faculdade,ARACAJU,"4,67","3,19","3,00","4,36",139,303,2,661,"3,66","2,55"
JORNALISMO,MG,0,2012,"3,09","3,36","3,56","3,13","0,00",FACULDADE PITÁGORAS DE DIVINÓPOLIS - FPD,FPD,0,Privada,Faculdade,DIVINOPOLIS,"4,50","3,42","4,00","4,51",19,30,803,3149,"3,86","3,07"
PSICOLOGIA,SE,0,2012,"2,24","1,47","2,01","5,00","0,62",FACULDADE PIO DÉCIMO,FPD,0,Privada,Faculdade,ARACAJU,"3,00","3,30","3,00","4,08",44,77,18,661,"3,61","2,23"
